Date,Calories.Burned,Steps,Distance,Floors,Minutes.Sedentary,Minutes.Lightly.Active,Minutes.Fairly.Active,Minutes.Very.Active,Activity.Calories,Start.Time,End.Time,Minutes.Asleep,Minutes.Awake,Number.of.Awakenings,Time.in.Bed,Minutes.REM.Sleep,Minutes.Light.Sleep,Minutes.Deep.Sleep,timestamp,overall_score,composition_score,revitalization_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness,date,start_time,end_time,timestamp_time,,,,
12/13/19,2211,8110,3.45,43,776,185,20,16,881,2019-12-14 3:27AM,2019-12-14 9:56AM,340,48,25,388,39,223,78,NA,75,17,22,36,77,59,0.071236559,NA,3:27:00,9:56:00,NA,,,,
12/12/19,1859,3212,1.37,27,892,10,0,0,29,2019-12-13 12:12AM,2019-12-13 7:35AM,371,72,29,443,77,224,70,12/13/19 7:35,75,20,19,36,69,58,0.137889688,12/13/19,12:12:00,7:35:00,7:35:00,,,,
12/11/19,2271,7902,3.67,42,990,0,0,0,0,2019-12-12 12:02AM,2019-12-12 7:15AM,366,67,23,433,70,209,87,12/12/19 7:15,75,19,21,35,87,58,0.110843373,12/12/19,12:02:00,7:15:00,7:15:00,,,,
12/10/19,2758,15133,6.49,56,1057,0,0,0,0,2019-12-11 12:17AM,2019-12-11 5:33AM,250,66,13,316,35,148,67,12/11/19 5:33,53,17,19,17,67,58,0.162295082,12/11/19,12:17:00,5:33:00,5:33:00,,,,
12/9/19,2130,6190,2.66,35,811,0,0,0,0,2019-12-10 12:06AM,2019-12-10 6:29AM,334,49,24,383,53,220,61,12/10/19 6:29,72,17,22,33,61,58,0.110821382,12/10/19,12:06:00,6:29:00,6:29:30,,,,
12/8/19,1823,3047,1.32,16,822,114,0,0,407,2019-12-08 11:07PM,2019-12-09 6:18AM,373,58,28,431,63,229,81,12/9/19 6:18,74,18,21,35,81,58,0.113557358,12/9/19,23:07:00,6:18:00,6:18:30,,,,
12/7/19,2040,4765,2.05,25,688,147,16,6,635,2019-12-07 11:19PM,2019-12-08 7:43AM,441,63,32,504,83,275,83,12/8/19 7:43,81,19,20,42,83,58,0.121243523,12/8/19,23:19:00,7:43:00,7:43:00,,,,
12/6/19,1964,4222,1.82,17,504,157,7,0,572,2019-12-07 1:37AM,2019-12-07 11:20AM,505,78,44,583,117,317,71,12/7/19 11:20,86,21,21,44,71,59,0.111396744,12/7/19,1:37:00,11:20:00,11:20:30,,,,
12/5/19,1964,3917,1.69,29,925,155,0,0,561,2019-12-06 12:07AM,2019-12-06 11:38AM,612,79,54,691,138,371,103,12/6/19 11:38,89,22,21,46,102,59,0.088691796,12/6/19,12:07:00,11:38:00,11:38:00,,,,
12/4/19,2156,6977,2.96,16,514,133,48,10,795,2019-12-05 2:52AM,2019-12-05 7:52AM,263,37,15,300,21,218,24,12/5/19 7:52,66,14,21,31,24,60,0.065602837,12/5/19,2:52:00,7:52:00,7:52:00,,,,
12/3/19,2659,13842,5.96,38,613,201,69,37,1395,2019-12-03 11:46PM,2019-12-04 10:02AM,538,78,44,616,120,315,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,23:46:00,10:02:00,NA,,,,
12/2/19,2277,8230,3.5,39,574,158,22,29,911,2019-12-03 1:06AM,2019-12-03 4:56AM,195,35,14,230,10,120,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,1:06:00,4:56:00,NA,,,,
12/1/19,2051,5647,2.31,39,1257,171,11,1,669,2019-12-01 11:23PM,2019-12-02 10:21AM,574,83,50,657,109,383,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,23:23:00,10:21:00,NA,,,,
11/30/19,1509,0,0,0,1440,0,0,0,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
11/29/19,2060,5616,2.42,10,1267,144,17,12,687,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
11/28/19,2088,5780,2.47,16,1231,209,0,0,747,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
11/27/19,2793,12362,5.31,28,633,298,41,39,1601,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,Our data: https://docs.google.com/spreadsheets/d/1wlW12e-8t-EUfq43eAYj-z9zS9uuz17MWpylSg4B1BY/edit?usp=sharing ,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
11/26/19,2083,6271,2.63,27,620,164,7,3,679,2019-11-27 1:53AM,2019-11-27 9:02AM,377,52,26,429,97,176,104,11/27/19 9:02,82,22,23,37,104,59,0.075178998,11/27/19,1:53:00,9:02:00,9:02:30,,,,
11/25/19,2234,8262,3.56,16,473,127,53,24,907,2019-11-26 12:13AM,2019-11-26 10:59AM,563,83,53,646,133,316,114,11/26/19 10:59,87,23,18,46,114,57,0.110665597,11/26/19,12:13:00,10:59:00,10:59:00,,,,
11/24/19,2046,5722,2.46,14,1259,181,0,0,687,2019-11-24 10:33PM,2019-11-25 9:23AM,586,64,37,650,145,338,103,11/25/19 9:23,90,22,22,46,103,58,0.094117647,11/25/19,22:33:00,9:23:00,9:23:30,,,,
11/23/19,1902,5819,2.5,28,829,61,13,21,461,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
11/22/19,1837,4310,1.85,9,982,94,6,1,417,2019-11-23 1:38AM,2019-11-23 10:14AM,470,46,38,516,102,271,97,11/23/19 10:14,86,21,22,43,97,59,0.076847291,11/23/19,1:38:00,10:14:00,10:14:00,,,,
11/21/19,2807,18795,8.06,88,668,172,44,87,1527,2019-11-22 1:16AM,2019-11-22 7:14AM,289,68,19,357,71,159,59,11/22/19 7:14,59,20,17,22,58,60,0.156643357,11/22/19,1:16:00,7:14:00,7:14:00,,,,
11/20/19,2674,14303,6.19,57,368,192,80,37,1408,2019-11-20 10:50PM,2019-11-21 6:39AM,407,62,33,469,107,216,84,11/21/19 6:39,79,22,20,37,83,60,0.137380192,11/21/19,22:50:00,6:39:00,6:39:30,,,,
